Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_1,1.0,Calle_1 (4),Low,Low,Baseline,50.0,0.0,50.78,2.821111111,,,Ep_1,Baseline,Low,Low,"56 ± 11,48",0 ± 0,"3,08 ± 0,06","55,49 ± 1,13"
Ep_1,2.0,Calle_1,Low,Low,Baseline,55.56,0.0,55.8,3.1,,,Ep_2,Hover,Low,Low,"52,35 ± 11,89",0 ± 0,"3,09 ± 0,02","55,7 ± 0,39"
Ep_1,3.0,Calle_1 (2),Low,Low,Baseline,55.26,0.0,55.78,3.098888889,,,Ep_3,Micro,Low,Low,"60,3 ± 11,81",0 ± 0,"3,26 ± 0,07","58,68 ± 1,19"
Ep_1,4.0,Calle_1 (4),Low,Low,Baseline,62.22,0.0,55.73,3.096111111,,,Ep_4,Skip,Low,Low,"47,45 ± 11,78","1,92 ± 3,25","3,54 ± 1,16","63,66 ± 20,93"
Ep_1,5.0,Calle_1 (6),Low,Low,Baseline,52.17,0.0,56.0,3.111111111,,,Ep_5,Baseline,Low,Medium,"84,01 ± 5,72",0 ± 0,"3,04 ± 0,06","54,79 ± 1,1"
Ep_1,6.0,Calle_1 (2),Low,Low,Baseline,40.0,0.0,55.67,3.092777778,,,Ep_6,Hover,Low,Medium,"83,59 ± 7,74",0 ± 0,"3,05 ± 0,02","54,98 ± 0,45"
Ep_1,7.0,Calle_1 (6),Low,Low,Baseline,59.52,0.0,55.54,3.085555556,,,Ep_7,Micro,Low,Medium,"82,7 ± 10,47",0 ± 0,"3,26 ± 0,06","58,68 ± 1,11"
Ep_1,8.0,Calle_1,Low,Low,Baseline,73.53,0.0,55.75,3.097222222,,,Ep_8,Skip,Low,Medium,"79,63 ± 10,64","3,28 ± 5,98","3,71 ± 1,34","66,75 ± 24,09"
Ep_1,9.0,Calle_1 (5),Low,Low,Baseline,43.48,0.0,55.38,3.076666667,,,Ep_9,Baseline,Low,High,"82,82 ± 6,79",0 ± 0,"3,05 ± 0,07","54,81 ± 1,22"
Ep_1,10.0,Calle_1,Low,Low,Baseline,59.26,0.0,55.5,3.083333333,,,Ep_10,Hover,Low,High,"82,45 ± 10,29",0 ± 0,"3,06 ± 0,02","55,13 ± 0,3"
Ep_1,11.0,Calle_1 (4),Low,Low,Baseline,65.63,0.0,55.55,3.086111111,,,Ep_11,Micro,Low,High,"76,41 ± 8,83",0 ± 0,"3,26 ± 0,06","58,59 ± 1,12"
Ep_1,12.0,Calle_1,Low,Low,Baseline,43.33,0.0,55.41,3.078333333,,,Ep_12,Skip,Low,High,"77,75 ± 8,12","4,16 ± 6,82","3,64 ± 1,37","65,55 ± 24,72"
Ep_1,13.0,Calle_1 (2),Low,Low,Baseline,32.0,0.0,55.77,3.098333333,,,Ep_13,Baseline,Medium,Low,"52,37 ± 10,18",0 ± 0,"3,05 ± 0,07","54,82 ± 1,18"
Ep_1,14.0,Calle_1 (5),Low,Low,Baseline,64.29,0.0,55.93,3.107222222,,,Ep_14,Hover,Medium,Low,"53,9 ± 11,55",0 ± 0,"3,14 ± 0,14","56,53 ± 2,56"
Ep_1,15.0,Calle_1 (4),Low,Low,Baseline,59.26,0.0,56.23,3.123888889,,,Ep_15,Micro,Medium,Low,"53,58 ± 9,26",0 ± 0,"3,26 ± 0,06","58,62 ± 1,15"
Ep_1,16.0,Calle_1 (6),Low,Low,Baseline,62.07,0.0,56.13,3.118333333,,,Ep_16,Skip,Medium,Low,"51,71 ± 11,81","2,1 ± 2,51","3,71 ± 0,9","66,69 ± 16,21"
Ep_1,17.0,Calle_1,Low,Low,Baseline,71.43,0.0,55.68,3.093333333,,,Ep_17,Baseline,Medium,Medium,"84,53 ± 8,15",0 ± 0,"3,05 ± 0,05","54,85 ± 0,95"
Ep_1,18.0,Calle_1 (4),Low,Low,Baseline,48.0,0.0,55.87,3.103888889,,,Ep_18,Hover,Medium,Medium,"80,43 ± 11,01",0 ± 0,"3,05 ± 0,03","54,93 ± 0,45"
Ep_1,19.0,Calle_1 (1),Low,Low,Baseline,48.0,0.0,55.95,3.108333333,,,Ep_19,Micro,Medium,Medium,"81,82 ± 7,35",0 ± 0,"3,26 ± 0,06","58,67 ± 1,07"
Ep_1,20.0,Calle_1 (5),Low,Low,Baseline,75.0,0.0,55.41,3.078333333,,,Ep_20,Skip,Medium,Medium,"81,03 ± 9,1","3,78 ± 5,92","3,56 ± 1,3","64,02 ± 23,44"
Ep_2,1.0,Calle_1 (1),Low,Low,Hover,47.06,0.0,54.51,3.028333333,,,Ep_21,Baseline,Medium,High,"75,19 ± 11,42",0 ± 0,"3,05 ± 0,06","54,97 ± 1,07"
Ep_2,2.0,Calle_1 (4),Low,Low,Hover,39.29,0.0,56.19,3.121666667,,,Ep_22,Hover,Medium,High,"81,98 ± 9,99",0 ± 0,"3,05 ± 0,02","54,98 ± 0,43"
Ep_2,3.0,Calle_1 (1),Low,Low,Hover,48.28,0.0,55.36,3.075555556,,,Ep_23,Micro,Medium,High,"74,6 ± 10,7",0 ± 0,"3,26 ± 0,06","58,73 ± 1,01"
Ep_2,4.0,Calle_1 (5),Low,Low,Hover,60.0,0.0,55.86,3.103333333,,,Ep_24,Skip,Medium,High,"75,03 ± 11,52","4,84 ± 8,2","3,55 ± 1,33","63,92 ± 23,95"
Ep_2,5.0,Calle_1 (5),Low,Low,Hover,60.0,0.0,55.45,3.080555556,,,Ep_25,Baseline,High,Low,"50,78 ± 10,74",0 ± 0,"3,05 ± 0,06","54,87 ± 1,05"
Ep_2,6.0,Calle_1 (6),Low,Low,Hover,61.29,0.0,55.93,3.107222222,,,Ep_26,Hover,High,Low,"54,79 ± 14,08",0 ± 0,"5,08 ± 6,57","91,4 ± 118,27"
Ep_2,7.0,Calle_1 (6),Low,Low,Hover,52.63,0.0,55.57,3.087222222,,,Ep_27,Micro,High,Low,"51,8 ± 11,4",0 ± 0,"3,27 ± 0,03","58,84 ± 0,48"
Ep_2,8.0,Calle_1 (3),Low,Low,Hover,60.53,0.0,55.62,3.09,,,Ep_28,Skip,High,Low,"49,45 ± 11,22","2,55 ± 3,43","4,07 ± 1,5","73,34 ± 27,06"
Ep_2,9.0,Calle_1 (3),Low,Low,Hover,31.58,0.0,56.17,3.120555556,,,Ep_29,Baseline,High,Medium,"81,87 ± 11,16",0 ± 0,"3,05 ± 0,02","54,94 ± 0,4"
Ep_2,10.0,Calle_1,Low,Low,Hover,61.54,0.0,55.65,3.091666667,,,Ep_30,Hover,High,Medium,"81,51 ± 7,98",0 ± 0,"3,04 ± 0,06","54,79 ± 1,05"
Ep_2,11.0,Calle_1 (5),Low,Low,Hover,61.11,0.0,55.61,3.089444444,,,Ep_31,Micro,High,Medium,"79,13 ± 9,61",0 ± 0,"3,27 ± 0,03","58,78 ± 0,55"
Ep_2,12.0,Calle_1 (3),Low,Low,Hover,75.86,0.0,55.73,3.096111111,,,Ep_32,Skip,High,Medium,"74,91 ± 12,3","6,8 ± 8,96","3,96 ± 1,7","71,35 ± 30,54"
Ep_2,13.0,Calle_1 (6),Low,Low,Hover,50.0,0.0,55.84,3.102222222,,,Ep_33,Baseline,High,High,"78,28 ± 10,47",0 ± 0,"3,06 ± 0,02","54,99 ± 0,35"
Ep_2,14.0,Calle_1 (6),Low,Low,Hover,45.16,0.0,56.07,3.115,,,Ep_34,Hover,High,High,"75,53 ± 9,85",0 ± 0,"3,05 ± 0,06","54,82 ± 1,07"
Ep_2,15.0,Calle_1 (3),Low,Low,Hover,60.0,0.0,55.32,3.073333333,,,Ep_35,Micro,High,High,"73,01 ± 15,55",0 ± 0,"3,27 ± 0,03","58,87 ± 0,51"
Ep_2,16.0,Calle_1 (1),Low,Low,Hover,52.17,0.0,55.72,3.095555556,,,Ep_36,Skip,High,High,"76,84 ± 11,03","5,79 ± 8,63","3,82 ± 1,49","68,68 ± 26,74"
Ep_2,17.0,Calle_1,Low,Low,Hover,27.78,0.0,55.36,3.075555556,,,,,,,,,,
Ep_2,18.0,Calle_1 (3),Low,Low,Hover,38.46,0.0,55.98,3.11,,,,,,,,,,
Ep_2,19.0,Calle_1,Low,Low,Hover,64.29,0.0,55.84,3.102222222,,,,,,,,,,
Ep_2,20.0,Calle_1 (2),Low,Low,Hover,50.0,0.0,56.19,3.121666667,,,,,,,,,,
Ep_3,1.0,Calle_1,Low,Low,Micro,58.54,0.0,54.45,3.025,,,,,,,,,,
Ep_3,2.0,Calle_1 (5),Low,Low,Micro,72.41,0.0,59.23,3.290555556,,,,,,,,,,
Ep_3,3.0,Calle_1 (4),Low,Low,Micro,58.62,0.0,58.73,3.262777778,,,,,,,,,,
Ep_3,4.0,Calle_1 (2),Low,Low,Micro,64.29,0.0,57.98,3.221111111,,,,,,,,,,
Ep_3,5.0,Calle_1 (6),Low,Low,Micro,51.16,0.0,58.03,3.223888889,,,,,,,,,,
Ep_3,6.0,Calle_1 (5),Low,Low,Micro,47.06,0.0,57.83,3.212777778,,,,,,,,,,
Ep_3,7.0,Calle_1 (1),Low,Low,Micro,68.42,0.0,59.23,3.290555556,,,,,,,,,,
Ep_3,8.0,Calle_1,Low,Low,Micro,62.16,0.0,58.44,3.246666667,,,,,,,,,,
Ep_3,9.0,Calle_1,Low,Low,Micro,33.33,0.0,60.07,3.337222222,,,,,,,,,,
Ep_3,10.0,Calle_1 (1),Low,Low,Micro,52.17,0.0,58.99,3.277222222,,,,,,,,,,
Ep_3,11.0,Calle_1 (3),Low,Low,Micro,72.97,0.0,59.35,3.297222222,,,,,,,,,,
Ep_3,12.0,Calle_1 (4),Low,Low,Micro,56.67,0.0,59.23,3.290555556,,,,,,,,,,
Ep_3,13.0,Calle_1,Low,Low,Micro,40.0,0.0,58.36,3.242222222,,,,,,,,,,
Ep_3,14.0,Calle_1 (1),Low,Low,Micro,62.5,0.0,58.01,3.222777778,,,,,,,,,,
Ep_3,15.0,Calle_1 (3),Low,Low,Micro,56.67,0.0,59.03,3.279444444,,,,,,,,,,
Ep_3,16.0,Calle_1 (4),Low,Low,Micro,60.0,0.0,58.67,3.259444444,,,,,,,,,,
Ep_3,17.0,Calle_1 (3),Low,Low,Micro,60.87,0.0,59.99,3.332777778,,,,,,,,,,
Ep_3,18.0,Calle_1 (6),Low,Low,Micro,76.19,0.0,59.47,3.303888889,,,,,,,,,,
