Episode,Strategy,Traffic,Height,Coverage (%),Recovery (%),Energy (%),Time (s)
Ep_1,Baseline,Low,Low,"56 ± 11,48",0 ± 0,"3,08 ± 0,06","55,49 ± 1,13"
Ep_2,Hover,Low,Low,"52,35 ± 11,89",0 ± 0,"3,09 ± 0,02","55,7 ± 0,39"
Ep_3,Micro,Low,Low,"60,3 ± 11,81",0 ± 0,"3,26 ± 0,07","58,68 ± 1,19"
Ep_4,Skip,Low,Low,"47,45 ± 11,78","1,92 ± 3,25","3,54 ± 1,16","63,66 ± 20,93"
Ep_5,Baseline,Low,Medium,"84,01 ± 5,72",0 ± 0,"3,04 ± 0,06","54,79 ± 1,1"
Ep_6,Hover,Low,Medium,"83,59 ± 7,74",0 ± 0,"3,05 ± 0,02","54,98 ± 0,45"
Ep_7,Micro,Low,Medium,"82,7 ± 10,47",0 ± 0,"3,26 ± 0,06","58,68 ± 1,11"
Ep_8,Skip,Low,Medium,"79,63 ± 10,64","3,28 ± 5,98","3,71 ± 1,34","66,75 ± 24,09"
Ep_9,Baseline,Low,High,"82,82 ± 6,79",0 ± 0,"3,05 ± 0,07","54,81 ± 1,22"
Ep_10,Hover,Low,High,"82,45 ± 10,29",0 ± 0,"3,06 ± 0,02","55,13 ± 0,3"
Ep_11,Micro,Low,High,"76,41 ± 8,83",0 ± 0,"3,26 ± 0,06","58,59 ± 1,12"
Ep_12,Skip,Low,High,"77,75 ± 8,12","4,16 ± 6,82","3,64 ± 1,37","65,55 ± 24,72"
Ep_13,Baseline,Medium,Low,"52,37 ± 10,18",0 ± 0,"3,05 ± 0,07","54,82 ± 1,18"
Ep_14,Hover,Medium,Low,"53,9 ± 11,55",0 ± 0,"3,14 ± 0,14","56,53 ± 2,56"
Ep_15,Micro,Medium,Low,"53,58 ± 9,26",0 ± 0,"3,26 ± 0,06","58,62 ± 1,15"
Ep_16,Skip,Medium,Low,"51,71 ± 11,81","2,1 ± 2,51","3,71 ± 0,9","66,69 ± 16,21"
Ep_17,Baseline,Medium,Medium,"84,53 ± 8,15",0 ± 0,"3,05 ± 0,05","54,85 ± 0,95"
Ep_18,Hover,Medium,Medium,"80,43 ± 11,01",0 ± 0,"3,05 ± 0,03","54,93 ± 0,45"
Ep_19,Micro,Medium,Medium,"81,82 ± 7,35",0 ± 0,"3,26 ± 0,06","58,67 ± 1,07"
Ep_20,Skip,Medium,Medium,"81,03 ± 9,1","3,78 ± 5,92","3,56 ± 1,3","64,02 ± 23,44"
Ep_21,Baseline,Medium,High,"75,19 ± 11,42",0 ± 0,"3,05 ± 0,06","54,97 ± 1,07"
Ep_22,Hover,Medium,High,"81,98 ± 9,99",0 ± 0,"3,05 ± 0,02","54,98 ± 0,43"
Ep_23,Micro,Medium,High,"74,6 ± 10,7",0 ± 0,"3,26 ± 0,06","58,73 ± 1,01"
Ep_24,Skip,Medium,High,"75,03 ± 11,52","4,84 ± 8,2","3,55 ± 1,33","63,92 ± 23,95"
Ep_25,Baseline,High,Low,"50,78 ± 10,74",0 ± 0,"3,05 ± 0,06","54,87 ± 1,05"
Ep_26,Hover,High,Low,"54,79 ± 14,08",0 ± 0,"5,08 ± 6,57","91,4 ± 118,27"
Ep_27,Micro,High,Low,"51,8 ± 11,4",0 ± 0,"3,27 ± 0,03","58,84 ± 0,48"
Ep_28,Skip,High,Low,"49,45 ± 11,22","2,55 ± 3,43","4,07 ± 1,5","73,34 ± 27,06"
Ep_29,Baseline,High,Medium,"81,87 ± 11,16",0 ± 0,"3,05 ± 0,02","54,94 ± 0,4"
Ep_30,Hover,High,Medium,"81,51 ± 7,98",0 ± 0,"3,04 ± 0,06","54,79 ± 1,05"
Ep_31,Micro,High,Medium,"79,13 ± 9,61",0 ± 0,"3,27 ± 0,03","58,78 ± 0,55"
Ep_32,Skip,High,Medium,"74,91 ± 12,3","6,8 ± 8,96","3,96 ± 1,7","71,35 ± 30,54"
Ep_33,Baseline,High,High,"78,28 ± 10,47",0 ± 0,"3,06 ± 0,02","54,99 ± 0,35"
Ep_34,Hover,High,High,"75,53 ± 9,85",0 ± 0,"3,05 ± 0,06","54,82 ± 1,07"
Ep_35,Micro,High,High,"73,01 ± 15,55",0 ± 0,"3,27 ± 0,03","58,87 ± 0,51"
Ep_36,Skip,High,High,"76,84 ± 11,03","5,79 ± 8,63","3,82 ± 1,49","68,68 ± 26,74"
